team_name,control,hybrid,payload,push,total_map_played
Atlanta Reign,2.0,2.0,2.0,1.0,7.0
Boston Uprising,2.0,2.0,1.0,,5.0
Chengdu Hunters,2.0,2.0,1.0,1.0,6.0
Dallas Fuel,3.0,2.0,2.0,2.0,9.0
Florida Mayhem,4.0,3.0,4.0,2.0,13.0
Guangzhou Charge,2.0,1.0,1.0,1.0,5.0
Hangzhou Spark,3.0,2.0,3.0,2.0,10.0
Houston Outlaws,3.0,3.0,3.0,2.0,11.0
London Spitfire,2.0,2.0,3.0,1.0,8.0
Los Angeles Gladiators,2.0,2.0,3.0,2.0,9.0
San Francisco Shock,5.0,3.0,3.0,2.0,13.0
Seoul Dynasty,3.0,3.0,2.0,,8.0
Seoul Infernal,2.0,2.0,1.0,1.0,6.0
Shanghai Dragons,2.0,2.0,2.0,1.0,7.0
Toronto Defiant,4.0,2.0,3.0,2.0,11.0
Washington Justice,1.0,2.0,2.0,,5.0
