,map_name,map_type,tournament_title
103590,Ilios,control,Kickoff Clash: Tournament
104118,Eichenwalde,hybrid,Kickoff Clash: Tournament
104609,Dorado,payload,Kickoff Clash: Tournament
105021,New Queen Street,push,Kickoff Clash: Tournament
105384,Lijiang Tower,control,Kickoff Clash: Tournament
106238,King's Row,hybrid,Kickoff Clash: Tournament
106739,Watchpoint: Gibraltar,payload,Kickoff Clash: Tournament
108513,Circuit royal,payload,Kickoff Clash: Tournament
109465,Midtown,hybrid,Kickoff Clash: Tournament
110251,Oasis,control,Kickoff Clash: Tournament
112797,Route 66,payload,Kickoff Clash: Tournament
115593,Colosseo,push,Kickoff Clash: Tournament
